Ciudad,Timestamp,Temperatura,Viento,Precipitacion,UV,Tipo_Cambio,Variacion,Tendencia,IVV_Score,Nivel_Riesgo,Alertas_Count
Nueva York,2025-10-22T03:20:52.630194Z,15.9,15.3,0.0,0.0,1,0.75,estable,100.0,BAJO,0
Londres,2025-10-22T03:20:55.662938Z,9.6,6.4,0.0,0.0,0.748,0.55,estable,100.0,BAJO,0
Tokio,2025-10-22T03:20:58.778079Z,11.9,4.0,0.1,0.4,151.51,2.75,estable,100.0,BAJO,0
São Paulo,2025-10-22T03:21:01.885164Z,12.5,8.2,0.0,0.0,5.38,0.11,estable,100.0,BAJO,0
Sídney,2025-10-22T03:21:04.990434Z,38.8,34.4,0.0,6.4,1.54,2.84,estable,82.5,BAJO,1
